,qseqid,qspecies,sseqid,sspecies,dN,dS,dN/dS
72258,Gorai.009G125400.1,Grai,maker-SEQ_120961-augustus-gene-0.28-mRNA-1,kokia,0.0077,0.0838,0.0923
72259,maker-SEQ_120961-augustus-gene-0.28-mRNA-1,kokia,maker-SEQ_367-snap-gene-176.64-mRNA-1,kirkii,0.0048,0.0548,0.0883
72264,Gorai.009G125800.1,Grai,genemark-SEQ_367-processed-gene-176.13-mRNA-1,kirkii,0.0268,0.1661,0.1614
72267,Gorai.009G125800.1,Grai,maker-SEQ_120961-augustus-gene-0.29-mRNA-1,kokia,0.0076,0.0344,0.2221
72268,genemark-SEQ_367-processed-gene-176.13-mRNA-1,kirkii,maker-SEQ_120961-augustus-gene-0.29-mRNA-1,kokia,0.0238,0.1284,0.1851
72273,Gorai.009G125900.1,Grai,augustus_masked-SEQ_367-processed-gene-175.11-mRNA-1,kirkii,0.0085,0.0636,0.1344
72276,Gorai.009G125900.1,Grai,augustus_masked-SEQ_120961-processed-gene-0.20-mRNA-1,kokia,0.0087,0.0688,0.1257
72277,augustus_masked-SEQ_120961-processed-gene-0.20-mRNA-1,kokia,augustus_masked-SEQ_367-processed-gene-175.11-mRNA-1,kirkii,0.0059,0.0194,0.3019
72282,Gorai.009G126100.1,Grai,maker-SEQ_367-snap-gene-175.75-mRNA-1,kirkii,0.024,0.1043,0.2298
72285,Gorai.009G126100.1,Grai,maker-SEQ_113523-augustus-gene-0.2-mRNA-1,kokia,0.0549,0.4364,0.1258
72286,maker-SEQ_113523-augustus-gene-0.2-mRNA-1,kokia,maker-SEQ_367-snap-gene-175.75-mRNA-1,kirkii,0.0424,0.2302,0.1843
72291,Gorai.009G126600.1,Grai,maker-SEQ_367-augustus-gene-175.60-mRNA-1,kirkii,0.0022,0.0759,0.0295
72294,Gorai.009G126600.1,Grai,maker-SEQ_124249-augustus-gene-0.64-mRNA-1,kokia,0.0022,0.0914,0.0245
72295,maker-SEQ_124249-augustus-gene-0.64-mRNA-1,kokia,maker-SEQ_367-augustus-gene-175.60-mRNA-1,kirkii,0.0016,0.016,0.098
72300,Gorai.009G126700.1,Grai,maker-SEQ_367-snap-gene-175.68-mRNA-1,kirkii,0.0216,0.146,0.1482
72303,Gorai.009G126700.1,Grai,maker-SEQ_124249-augustus-gene-0.72-mRNA-1,kokia,0.0175,0.1451,0.1206
72304,maker-SEQ_124249-augustus-gene-0.72-mRNA-1,kokia,maker-SEQ_367-snap-gene-175.68-mRNA-1,kirkii,0.0064,0.0533,0.1195
72309,Gorai.009G127000.1,Grai,genemark-SEQ_367-processed-gene-174.46-mRNA-1,kirkii,0.0075,0.0652,0.1154
72312,Gorai.009G127000.1,Grai,genemark-SEQ_124249-processed-gene-0.7-mRNA-1,kokia,0.0104,0.0572,0.1814
72313,genemark-SEQ_124249-processed-gene-0.7-mRNA-1,kokia,genemark-SEQ_367-processed-gene-174.46-mRNA-1,kirkii,0.006,0.0188,0.3162
72318,Gorai.009G127400.1,Grai,maker-SEQ_367-augustus-gene-174.81-mRNA-1,kirkii,0.0,0.0372,0.001
72321,Gorai.009G127400.1,Grai,maker-SEQ_124249-augustus-gene-0.74-mRNA-1,kokia,0.0044,0.0396,0.11
72322,maker-SEQ_124249-augustus-gene-0.74-mRNA-1,kokia,maker-SEQ_367-augustus-gene-174.81-mRNA-1,kirkii,0.0,0.0266,0.001
72327,Gorai.009G127900.1,Grai,augustus_masked-SEQ_367-processed-gene-174.3-mRNA-1,kirkii,0.0081,0.0648,0.1255
72330,Gorai.009G127900.1,Grai,augustus_masked-SEQ_124249-processed-gene-0.58-mRNA-1,kokia,0.0084,0.069,0.1223
72331,augustus_masked-SEQ_124249-processed-gene-0.58-mRNA-1,kokia,augustus_masked-SEQ_367-processed-gene-174.3-mRNA-1,kirkii,0.0009,0.0313,0.0289
72336,Gorai.009G128000.1,Grai,maker-SEQ_367-snap-gene-174.100-mRNA-1,kirkii,0.0121,0.0941,0.1282
72339,Gorai.009G128000.1,Grai,maker-SEQ_124249-augustus-gene-0.67-mRNA-1,kokia,0.0092,0.1083,0.0853
72340,maker-SEQ_124249-augustus-gene-0.67-mRNA-1,kokia,maker-SEQ_367-snap-gene-174.100-mRNA-1,kirkii,0.0049,0.0238,0.2075
72345,Gorai.009G128200.1,Grai,maker-SEQ_367-augustus-gene-174.86-mRNA-1,kirkii,0.005,0.0518,0.0974
72348,Gorai.009G128200.1,Grai,augustus_masked-SEQ_124249-processed-gene-0.44-mRNA-1,kokia,0.0064,0.0446,0.1425
72349,augustus_masked-SEQ_124249-processed-gene-0.44-mRNA-1,kokia,maker-SEQ_367-augustus-gene-174.86-mRNA-1,kirkii,0.0012,0.016,0.0733
72354,Gorai.009G128300.1,Grai,maker-SEQ_367-augustus-gene-174.85-mRNA-1,kirkii,0.0112,0.0788,0.1425
72357,Gorai.009G128300.1,Grai,maker-SEQ_124249-augustus-gene-0.68-mRNA-1,kokia,0.0074,0.0829,0.0888
72358,maker-SEQ_124249-augustus-gene-0.68-mRNA-1,kokia,maker-SEQ_367-augustus-gene-174.85-mRNA-1,kirkii,0.0036,0.043,0.0834
72363,Gorai.009G128400.1,Grai,augustus_masked-SEQ_367-processed-gene-174.11-mRNA-1,kirkii,0.0125,0.0604,0.2076
72366,Gorai.009G128400.1,Grai,maker-SEQ_124249-augustus-gene-0.69-mRNA-1,kokia,0.0124,0.0618,0.2001
72367,augustus_masked-SEQ_367-processed-gene-174.11-mRNA-1,kirkii,maker-SEQ_124249-augustus-gene-0.69-mRNA-1,kokia,0.0024,0.0198,0.1235
72372,Gorai.009G128500.1,Grai,maker-SEQ_367-augustus-gene-174.83-mRNA-1,kirkii,0.0001,0.0905,0.001
72375,Gorai.009G128500.1,Grai,augustus_masked-SEQ_124249-processed-gene-0.47-mRNA-1,kokia,0.0043,0.0879,0.0494
72376,augustus_masked-SEQ_124249-processed-gene-0.47-mRNA-1,kokia,maker-SEQ_367-augustus-gene-174.83-mRNA-1,kirkii,0.0042,0.0597,0.0703
72381,Gorai.009G129900.1,Grai,maker-SEQ_367-augustus-gene-172.94-mRNA-1,kirkii,0.0064,0.0515,0.1241
72384,Gorai.009G129900.1,Grai,maker-SEQ_129642-augustus-gene-0.81-mRNA-1,kokia,0.0112,0.0753,0.1488
72385,maker-SEQ_129642-augustus-gene-0.81-mRNA-1,kokia,maker-SEQ_367-augustus-gene-172.94-mRNA-1,kirkii,0.0054,0.0512,0.1065
72390,Gorai.009G130900.1,Grai,maker-SEQ_367-snap-gene-172.107-mRNA-1,kirkii,0.007,0.0414,0.1698
72393,Gorai.009G130900.1,Grai,genemark-SEQ_129642-processed-gene-0.13-mRNA-1,kokia,0.0108,0.0678,0.1589
72394,genemark-SEQ_129642-processed-gene-0.13-mRNA-1,kokia,maker-SEQ_367-snap-gene-172.107-mRNA-1,kirkii,0.0034,0.024,0.1434
72399,Gorai.009G131100.1,Grai,genemark-SEQ_367-processed-gene-172.41-mRNA-1,kirkii,0.0114,0.0611,0.1859
72402,Gorai.009G131100.1,Grai,genemark-SEQ_129642-processed-gene-0.15-mRNA-1,kokia,0.0088,0.0797,0.1101
72403,genemark-SEQ_129642-processed-gene-0.15-mRNA-1,kokia,genemark-SEQ_367-processed-gene-172.41-mRNA-1,kirkii,0.0019,0.0206,0.0915
72408,Gorai.009G131500.1,Grai,maker-SEQ_367-augustus-gene-172.89-mRNA-1,kirkii,0.0168,0.1114,0.1508
72411,Gorai.009G131500.1,Grai,maker-SEQ_129642-augustus-gene-0.86-mRNA-1,kokia,0.0172,0.1152,0.1492
72412,maker-SEQ_129642-augustus-gene-0.86-mRNA-1,kokia,maker-SEQ_367-augustus-gene-172.89-mRNA-1,kirkii,0.0,0.0227,0.001
72417,Gorai.009G132000.1,Grai,maker-SEQ_367-snap-gene-171.59-mRNA-1,kirkii,0.0096,0.0557,0.1731
72420,Gorai.009G132000.1,Grai,maker-SEQ_129642-augustus-gene-0.94-mRNA-1,kokia,0.0048,0.0565,0.0857
72421,maker-SEQ_129642-augustus-gene-0.94-mRNA-1,kokia,maker-SEQ_367-snap-gene-171.59-mRNA-1,kirkii,0.0058,0.0252,0.2297
72426,Gorai.009G132200.1,Grai,maker-SEQ_367-augustus-gene-171.49-mRNA-1,kirkii,0.0112,0.098,0.1144
72429,Gorai.009G132200.1,Grai,augustus_masked-SEQ_116622-processed-gene-0.15-mRNA-1,kokia,0.0106,0.1487,0.0716
72430,augustus_masked-SEQ_116622-processed-gene-0.15-mRNA-1,kokia,maker-SEQ_367-augustus-gene-171.49-mRNA-1,kirkii,0.0056,0.0482,0.1169
72435,Gorai.009G132300.1,Grai,maker-SEQ_367-augustus-gene-171.48-mRNA-1,kirkii,0.0047,0.1078,0.0435
72438,Gorai.009G132300.1,Grai,augustus_masked-SEQ_116622-processed-gene-0.16-mRNA-1,kokia,0.0096,0.1632,0.0586
72439,augustus_masked-SEQ_116622-processed-gene-0.16-mRNA-1,kokia,maker-SEQ_367-augustus-gene-171.48-mRNA-1,kirkii,0.0047,0.0465,0.1019
72444,Gorai.009G132400.1,Grai,maker-SEQ_367-snap-gene-171.56-mRNA-1,kirkii,0.0192,0.1536,0.1249
72447,Gorai.009G132400.1,Grai,genemark-SEQ_126997-processed-gene-0.4-mRNA-1,kokia,0.0219,0.1542,0.142
72448,genemark-SEQ_126997-processed-gene-0.4-mRNA-1,kokia,maker-SEQ_367-snap-gene-171.56-mRNA-1,kirkii,0.0098,0.0459,0.2133
72453,Gorai.009G132900.1,Grai,maker-SEQ_367-snap-gene-170.97-mRNA-1,kirkii,0.0136,0.0745,0.183
72456,Gorai.009G132900.1,Grai,maker-SEQ_123882-augustus-gene-0.68-mRNA-1,kokia,0.0132,0.0727,0.1813
72457,maker-SEQ_123882-augustus-gene-0.68-mRNA-1,kokia,maker-SEQ_367-snap-gene-170.97-mRNA-1,kirkii,0.0094,0.0623,0.1516
72462,Gorai.009G133100.1,Grai,maker-SEQ_367-augustus-gene-170.69-mRNA-1,kirkii,0.0104,0.0719,0.1441
72465,Gorai.009G133100.1,Grai,genemark-SEQ_123882-processed-gene-0.9-mRNA-1,kokia,0.0107,0.1153,0.0928
72466,genemark-SEQ_123882-processed-gene-0.9-mRNA-1,kokia,maker-SEQ_367-augustus-gene-170.69-mRNA-1,kirkii,0.0077,0.0651,0.1183
72471,Gorai.009G134500.1,Grai,maker-SEQ_367-augustus-gene-169.63-mRNA-1,kirkii,0.0068,0.0502,0.1344
72474,Gorai.009G134500.1,Grai,maker-SEQ_126803-augustus-gene-1.77-mRNA-1,kokia,0.0068,0.0568,0.119
72475,maker-SEQ_126803-augustus-gene-1.77-mRNA-1,kokia,maker-SEQ_367-augustus-gene-169.63-mRNA-1,kirkii,0.0071,0.032,0.222
72480,Gorai.009G134700.1,Grai,maker-SEQ_367-augustus-gene-169.62-mRNA-1,kirkii,0.0169,0.1759,0.0963
72483,Gorai.009G134700.1,Grai,genemark-SEQ_126803-processed-gene-1.13-mRNA-1,kokia,0.0047,0.0653,0.0717
72484,genemark-SEQ_126803-processed-gene-1.13-mRNA-1,kokia,maker-SEQ_367-augustus-gene-169.62-mRNA-1,kirkii,0.0122,0.1451,0.0842
72489,Gorai.009G134800.1,Grai,maker-SEQ_367-augustus-gene-169.67-mRNA-1,kirkii,0.0034,0.0765,0.0442
72492,Gorai.009G134800.1,Grai,maker-SEQ_126803-augustus-gene-1.83-mRNA-1,kokia,0.006,0.0708,0.0847
72493,maker-SEQ_126803-augustus-gene-1.83-mRNA-1,kokia,maker-SEQ_367-augustus-gene-169.67-mRNA-1,kirkii,0.0026,0.0181,0.1418
72498,Gorai.009G134900.1,Grai,maker-SEQ_367-augustus-gene-169.61-mRNA-1,kirkii,0.0037,0.007,0.5289
72501,Gorai.009G134900.1,Grai,maker-SEQ_126803-augustus-gene-1.75-mRNA-1,kokia,0.0037,0.0069,0.5304
72502,maker-SEQ_126803-augustus-gene-1.75-mRNA-1,kokia,maker-SEQ_367-augustus-gene-169.61-mRNA-1,kirkii,0.0,0.0,0.4266
72507,Gorai.009G135100.1,Grai,augustus_masked-SEQ_367-processed-gene-169.23-mRNA-1,kirkii,0.0047,0.0456,0.1025
72510,Gorai.009G135100.1,Grai,maker-SEQ_126803-augustus-gene-1.74-mRNA-1,kokia,0.0053,0.0423,0.1257
72511,augustus_masked-SEQ_367-processed-gene-169.23-mRNA-1,kirkii,maker-SEQ_126803-augustus-gene-1.74-mRNA-1,kokia,0.0028,0.0319,0.0892
72516,Gorai.009G135200.1,Grai,maker-SEQ_367-snap-gene-169.77-mRNA-1,kirkii,0.0061,0.0531,0.1145
72519,Gorai.009G135200.1,Grai,maker-SEQ_126803-augustus-gene-1.82-mRNA-1,kokia,0.0067,0.0435,0.1549
72520,maker-SEQ_126803-augustus-gene-1.82-mRNA-1,kokia,maker-SEQ_367-snap-gene-169.77-mRNA-1,kirkii,0.0026,0.0358,0.0721
72525,Gorai.009G135300.1,Grai,genemark-SEQ_367-processed-gene-169.13-mRNA-1,kirkii,0.0069,0.0514,0.1341
72528,Gorai.009G135300.1,Grai,genemark-SEQ_126803-processed-gene-1.27-mRNA-1,kokia,0.0109,0.0746,0.1459
72529,genemark-SEQ_126803-processed-gene-1.27-mRNA-1,kokia,genemark-SEQ_367-processed-gene-169.13-mRNA-1,kirkii,0.0055,0.0411,0.1349
72534,Gorai.009G135600.1,Grai,maker-SEQ_367-augustus-gene-169.59-mRNA-1,kirkii,0.0029,0.0346,0.0851
72537,Gorai.009G135600.1,Grai,maker-SEQ_126803-augustus-gene-1.73-mRNA-1,kokia,0.0062,0.0473,0.1306
72538,maker-SEQ_126803-augustus-gene-1.73-mRNA-1,kokia,maker-SEQ_367-augustus-gene-169.59-mRNA-1,kirkii,0.003,0.0228,0.1323
72543,Gorai.009G135700.1,Grai,maker-SEQ_367-snap-gene-169.68-mRNA-1,kirkii,0.009,0.0544,0.166
72546,Gorai.009G135700.1,Grai,augustus_masked-SEQ_126803-processed-gene-1.43-mRNA-1,kokia,0.0113,0.0809,0.1401
72547,augustus_masked-SEQ_126803-processed-gene-1.43-mRNA-1,kokia,maker-SEQ_367-snap-gene-169.68-mRNA-1,kirkii,0.0016,0.0431,0.0368
72552,Gorai.009G135800.1,Grai,maker-SEQ_367-snap-gene-168.67-mRNA-1,kirkii,0.0099,0.0308,0.3219
72555,Gorai.009G135800.1,Grai,maker-SEQ_126803-augustus-gene-1.70-mRNA-1,kokia,0.0143,0.1077,0.1327
72556,maker-SEQ_126803-augustus-gene-1.70-mRNA-1,kokia,maker-SEQ_367-snap-gene-168.67-mRNA-1,kirkii,0.0056,0.0161,0.3517
72561,Gorai.009G135900.1,Grai,maker-SEQ_367-snap-gene-168.72-mRNA-1,kirkii,0.0099,0.064,0.1547
72564,Gorai.009G135900.1,Grai,maker-SEQ_126803-augustus-gene-1.79-mRNA-1,kokia,0.0087,0.0554,0.1568
72565,maker-SEQ_126803-augustus-gene-1.79-mRNA-1,kokia,maker-SEQ_367-snap-gene-168.72-mRNA-1,kirkii,0.004,0.0316,0.1257
72570,Gorai.009G136200.1,Grai,maker-SEQ_367-augustus-gene-168.60-mRNA-1,kirkii,0.0043,0.0556,0.0776
72573,Gorai.009G136200.1,Grai,maker-SEQ_126803-augustus-gene-0.35-mRNA-1,kokia,0.005,0.0513,0.0979
72574,maker-SEQ_126803-augustus-gene-0.35-mRNA-1,kokia,maker-SEQ_367-augustus-gene-168.60-mRNA-1,kirkii,0.0074,0.019,0.3884
72579,Gorai.009G136400.1,Grai,maker-SEQ_367-augustus-gene-168.55-mRNA-1,kirkii,0.0052,0.0289,0.1795
72582,Gorai.009G136400.1,Grai,maker-SEQ_126803-augustus-gene-0.30-mRNA-1,kokia,0.0052,0.0289,0.1795
72583,maker-SEQ_126803-augustus-gene-0.30-mRNA-1,kokia,maker-SEQ_367-augustus-gene-168.55-mRNA-1,kirkii,0.0,0.0,0.5092
72588,Gorai.009G136600.1,Grai,maker-SEQ_367-augustus-gene-168.54-mRNA-1,kirkii,0.0053,0.0765,0.0694
72591,Gorai.009G136600.1,Grai,genemark-SEQ_126803-processed-gene-0.4-mRNA-1,kokia,0.0053,0.0834,0.0636
72592,genemark-SEQ_126803-processed-gene-0.4-mRNA-1,kokia,maker-SEQ_367-augustus-gene-168.54-mRNA-1,kirkii,0.0015,0.0389,0.0384
72597,Gorai.009G136800.1,Grai,maker-SEQ_367-augustus-gene-168.59-mRNA-1,kirkii,0.0037,0.069,0.0538
72600,Gorai.009G136800.1,Grai,maker-SEQ_126803-augustus-gene-0.34-mRNA-1,kokia,0.0016,0.0579,0.028
72601,maker-SEQ_126803-augustus-gene-0.34-mRNA-1,kokia,maker-SEQ_367-augustus-gene-168.59-mRNA-1,kirkii,0.0044,0.0316,0.1378
72606,Gorai.009G137900.1,Grai,snap_masked-SEQ_367-processed-gene-166.55-mRNA-1,kirkii,0.0096,0.0436,0.2201
72609,Gorai.009G137900.1,Grai,maker-SEQ_116352-augustus-gene-0.4-mRNA-1,kokia,0.0147,0.0535,0.2755
72610,maker-SEQ_116352-augustus-gene-0.4-mRNA-1,kokia,snap_masked-SEQ_367-processed-gene-166.55-mRNA-1,kirkii,0.0079,0.0229,0.3455
72615,Gorai.009G138100.1,Grai,maker-SEQ_367-augustus-gene-166.82-mRNA-1,kirkii,0.0296,0.1421,0.208
72618,Gorai.009G138100.1,Grai,maker-SEQ_128962-augustus-gene-0.30-mRNA-1,kokia,0.023,0.0885,0.2598
72619,maker-SEQ_128962-augustus-gene-0.30-mRNA-1,kokia,maker-SEQ_367-augustus-gene-166.82-mRNA-1,kirkii,0.0083,0.0557,0.1487
72624,Gorai.009G138600.1,Grai,maker-SEQ_367-augustus-gene-166.81-mRNA-1,kirkii,0.0157,0.0675,0.2319
72627,Gorai.009G138600.1,Grai,maker-SEQ_128962-augustus-gene-0.28-mRNA-1,kokia,0.0184,0.0678,0.2718
72628,maker-SEQ_128962-augustus-gene-0.28-mRNA-1,kokia,maker-SEQ_367-augustus-gene-166.81-mRNA-1,kirkii,0.0163,0.054,0.3012
72633,Gorai.009G139700.1,Grai,maker-SEQ_367-snap-gene-166.84-mRNA-1,kirkii,0.0163,0.1673,0.0974
72636,Gorai.009G139700.1,Grai,maker-SEQ_128161-augustus-gene-0.28-mRNA-1,kokia,0.0133,0.1398,0.0951
72637,maker-SEQ_128161-augustus-gene-0.28-mRNA-1,kokia,maker-SEQ_367-snap-gene-166.84-mRNA-1,kirkii,0.0047,0.0918,0.0512
72642,Gorai.009G140600.1,Grai,maker-SEQ_367-snap-gene-165.74-mRNA-1,kirkii,0.0029,0.0518,0.0564
72645,Gorai.009G140600.1,Grai,augustus_masked-SEQ_130427-processed-gene-5.30-mRNA-1,kokia,0.0048,0.0559,0.0858
72646,augustus_masked-SEQ_130427-processed-gene-5.30-mRNA-1,kokia,maker-SEQ_367-snap-gene-165.74-mRNA-1,kirkii,0.0019,0.0339,0.055
72651,Gorai.009G141200.1,Grai,maker-SEQ_367-augustus-gene-164.54-mRNA-1,kirkii,0.0032,0.0395,0.081
72654,Gorai.009G141200.1,Grai,maker-SEQ_130427-augustus-gene-5.49-mRNA-1,kokia,0.0058,0.0406,0.1419
72655,maker-SEQ_130427-augustus-gene-5.49-mRNA-1,kokia,maker-SEQ_367-augustus-gene-164.54-mRNA-1,kirkii,0.0023,0.019,0.1221
72660,Gorai.009G141300.1,Grai,maker-SEQ_367-augustus-gene-164.53-mRNA-1,kirkii,0.011,0.0834,0.1325
72663,Gorai.009G141300.1,Grai,augustus_masked-SEQ_130427-processed-gene-5.33-mRNA-1,kokia,0.0096,0.1249,0.0772
72664,augustus_masked-SEQ_130427-processed-gene-5.33-mRNA-1,kokia,maker-SEQ_367-augustus-gene-164.53-mRNA-1,kirkii,0.0102,0.0946,0.1081
72669,Gorai.009G141500.1,Grai,maker-SEQ_367-augustus-gene-164.47-mRNA-1,kirkii,0.0162,0.0752,0.2155
72672,Gorai.009G141500.1,Grai,maker-SEQ_130427-augustus-gene-5.41-mRNA-1,kokia,0.0076,0.1386,0.0546
72673,maker-SEQ_130427-augustus-gene-5.41-mRNA-1,kokia,maker-SEQ_367-augustus-gene-164.47-mRNA-1,kirkii,0.0001,0.1471,0.001
72678,Gorai.009G141600.1,Grai,maker-SEQ_367-augustus-gene-164.52-mRNA-1,kirkii,0.0025,0.0825,0.0308
72681,Gorai.009G141600.1,Grai,maker-SEQ_130427-augustus-gene-5.46-mRNA-1,kokia,0.0147,0.0709,0.208
72682,maker-SEQ_130427-augustus-gene-5.46-mRNA-1,kokia,maker-SEQ_367-augustus-gene-164.52-mRNA-1,kirkii,0.0194,0.03,0.6486
72687,Gorai.009G141700.1,Grai,maker-SEQ_367-augustus-gene-164.46-mRNA-1,kirkii,0.0039,0.0635,0.0614
72690,Gorai.009G141700.1,Grai,augustus_masked-SEQ_130427-processed-gene-5.23-mRNA-1,kokia,0.0016,0.0541,0.0292
72691,augustus_masked-SEQ_130427-processed-gene-5.23-mRNA-1,kokia,maker-SEQ_367-augustus-gene-164.46-mRNA-1,kirkii,0.0024,0.0329,0.0719
72696,Gorai.009G141900.1,Grai,maker-SEQ_367-augustus-gene-164.51-mRNA-1,kirkii,0.0063,0.0774,0.0816
72699,Gorai.009G141900.1,Grai,maker-SEQ_130427-augustus-gene-5.45-mRNA-1,kokia,0.0047,0.0804,0.0589
72700,maker-SEQ_130427-augustus-gene-5.45-mRNA-1,kokia,maker-SEQ_367-augustus-gene-164.51-mRNA-1,kirkii,0.0031,0.0276,0.1117
72705,Gorai.009G142200.1,Grai,maker-SEQ_367-snap-gene-163.78-mRNA-1,kirkii,0.0102,0.0775,0.1313
72708,Gorai.009G142200.1,Grai,maker-SEQ_130427-augustus-gene-4.37-mRNA-1,kokia,0.0124,0.1079,0.1153
72709,maker-SEQ_130427-augustus-gene-4.37-mRNA-1,kokia,maker-SEQ_367-snap-gene-163.78-mRNA-1,kirkii,0.0055,0.0566,0.0975
72714,Gorai.009G142300.1,Grai,augustus_masked-SEQ_367-processed-gene-163.10-mRNA-1,kirkii,0.0339,0.1656,0.2045
72717,Gorai.009G142300.1,Grai,genemark-SEQ_130427-processed-gene-4.8-mRNA-1,kokia,0.0135,0.1021,0.1325
72718,augustus_masked-SEQ_367-processed-gene-163.10-mRNA-1,kirkii,genemark-SEQ_130427-processed-gene-4.8-mRNA-1,kokia,0.0342,0.099,0.3459
72723,Gorai.009G142500.1,Grai,maker-SEQ_367-augustus-gene-163.70-mRNA-1,kirkii,0.0037,0.0475,0.0789
72726,Gorai.009G142500.1,Grai,maker-SEQ_130427-augustus-gene-4.42-mRNA-1,kokia,0.0053,0.0517,0.1028
72727,maker-SEQ_130427-augustus-gene-4.42-mRNA-1,kokia,maker-SEQ_367-augustus-gene-163.70-mRNA-1,kirkii,0.0022,0.018,0.1235
72732,Gorai.009G143000.1,Grai,maker-SEQ_367-augustus-gene-163.61-mRNA-1,kirkii,0.005,0.1071,0.0469
72735,Gorai.009G143000.1,Grai,augustus_masked-SEQ_130427-processed-gene-4.22-mRNA-1,kokia,0.0017,0.0903,0.0187
72736,augustus_masked-SEQ_130427-processed-gene-4.22-mRNA-1,kokia,maker-SEQ_367-augustus-gene-163.61-mRNA-1,kirkii,0.0032,0.0508,0.0639
72741,Gorai.009G143100.1,Grai,maker-SEQ_367-snap-gene-163.82-mRNA-1,kirkii,0.0079,0.123,0.0639
72744,Gorai.009G143100.1,Grai,maker-SEQ_130427-augustus-gene-4.40-mRNA-1,kokia,0.0079,0.1096,0.0724
72745,maker-SEQ_130427-augustus-gene-4.40-mRNA-1,kokia,maker-SEQ_367-snap-gene-163.82-mRNA-1,kirkii,0.0049,0.033,0.1481
72750,Gorai.009G143300.1,Grai,maker-SEQ_367-augustus-gene-163.67-mRNA-1,kirkii,0.0066,0.0778,0.0846
72753,Gorai.009G143300.1,Grai,maker-SEQ_124832-augustus-gene-0.53-mRNA-1,kokia,0.0124,0.0768,0.1608
72754,maker-SEQ_124832-augustus-gene-0.53-mRNA-1,kokia,maker-SEQ_367-augustus-gene-163.67-mRNA-1,kirkii,0.0058,0.018,0.3216
72759,Gorai.009G143400.1,Grai,augustus_masked-SEQ_367-processed-gene-163.0-mRNA-1,kirkii,0.015,0.0529,0.2831
72762,Gorai.009G143400.1,Grai,augustus_masked-SEQ_124832-processed-gene-0.27-mRNA-1,kokia,0.0175,0.0971,0.1802
72763,augustus_masked-SEQ_124832-processed-gene-0.27-mRNA-1,kokia,augustus_masked-SEQ_367-processed-gene-163.0-mRNA-1,kirkii,0.0151,0.081,0.1864
72768,Gorai.009G143800.1,Grai,maker-SEQ_367-snap-gene-162.61-mRNA-1,kirkii,0.0208,0.1058,0.1967
72771,Gorai.009G143800.1,Grai,genemark-SEQ_124832-processed-gene-0.5-mRNA-1,kokia,0.0121,0.065,0.187
72772,genemark-SEQ_124832-processed-gene-0.5-mRNA-1,kokia,maker-SEQ_367-snap-gene-162.61-mRNA-1,kirkii,0.0096,0.0707,0.1359
72777,Gorai.009G144100.1,Grai,maker-SEQ_367-snap-gene-162.67-mRNA-1,kirkii,0.0026,0.0644,0.0405
72780,Gorai.009G144100.1,Grai,augustus_masked-SEQ_124832-processed-gene-0.35-mRNA-1,kokia,0.0086,0.1016,0.0851
72781,augustus_masked-SEQ_124832-processed-gene-0.35-mRNA-1,kokia,maker-SEQ_367-snap-gene-162.67-mRNA-1,kirkii,0.011,0.0606,0.1822
72786,Gorai.009G144200.1,Grai,maker-SEQ_367-snap-gene-162.60-mRNA-1,kirkii,0.0063,0.1187,0.0535
72789,Gorai.009G144200.1,Grai,augustus_masked-SEQ_124832-processed-gene-0.24-mRNA-1,kokia,0.0029,0.1152,0.0253
72790,augustus_masked-SEQ_124832-processed-gene-0.24-mRNA-1,kokia,maker-SEQ_367-snap-gene-162.60-mRNA-1,kirkii,0.0034,0.056,0.0599
72795,Gorai.009G144400.1,Grai,maker-SEQ_367-snap-gene-162.64-mRNA-1,kirkii,0.0064,0.0595,0.107
72798,Gorai.009G144400.1,Grai,maker-SEQ_124832-augustus-gene-0.49-mRNA-1,kokia,0.0021,0.0291,0.0728
72799,maker-SEQ_124832-augustus-gene-0.49-mRNA-1,kokia,maker-SEQ_367-snap-gene-162.64-mRNA-1,kirkii,0.004,0.0412,0.0974
72804,Gorai.009G144800.1,Grai,maker-SEQ_367-snap-gene-162.62-mRNA-1,kirkii,0.025,0.1334,0.1875
72807,Gorai.009G144800.1,Grai,genemark-SEQ_124832-processed-gene-0.10-mRNA-1,kokia,0.0059,0.0927,0.0636
72808,genemark-SEQ_124832-processed-gene-0.10-mRNA-1,kokia,maker-SEQ_367-snap-gene-162.62-mRNA-1,kirkii,0.0212,0.0919,0.2312
72813,Gorai.009G144900.1,Grai,augustus_masked-SEQ_367-processed-gene-161.14-mRNA-1,kirkii,0.0063,0.072,0.0878
72816,Gorai.009G144900.1,Grai,maker-SEQ_124981-augustus-gene-0.33-mRNA-1,kokia,0.0068,0.0629,0.1082
72817,augustus_masked-SEQ_367-processed-gene-161.14-mRNA-1,kirkii,maker-SEQ_124981-augustus-gene-0.33-mRNA-1,kokia,0.0047,0.0359,0.1324
72822,Gorai.009G145100.1,Grai,maker-SEQ_367-snap-gene-161.77-mRNA-1,kirkii,0.009,0.1049,0.0861
72825,Gorai.009G145100.1,Grai,maker-SEQ_124981-augustus-gene-0.37-mRNA-1,kokia,0.0058,0.0854,0.0679
72826,maker-SEQ_124981-augustus-gene-0.37-mRNA-1,kokia,maker-SEQ_367-snap-gene-161.77-mRNA-1,kirkii,0.0053,0.0517,0.103
