,qseqid,sseqid,dN,dS,dN/dS
6262,Thecc1EG020046t1,Gorai.011G142700.1,0.0245,0.5663,0.0433
6263,Thecc1EG020047t1,Gorai.011G142800.1,0.0409,0.9957,0.0411
6264,Thecc1EG020048t1,Gorai.011G143000.1,0.0293,0.3349,0.0874
6265,Thecc1EG020049t1,Gorai.011G143100.1,0.0446,0.4818,0.0927
6266,Thecc1EG020051t1,Gorai.011G143200.1,0.0314,0.3119,0.1006
6267,Thecc1EG020054t1,Gorai.005G128500.1,0.027,0.3643,0.0741
6268,Thecc1EG020055t1,Gorai.005G017000.1,0.0724,1.0443,0.0693
6269,Thecc1EG020056t1,Gorai.006G228100.1,0.0096,0.2806,0.0342
6270,Thecc1EG020057t1,Gorai.011G144000.1,0.029,0.3535,0.082
6271,Thecc1EG020060t1,Gorai.005G017500.1,0.0367,0.3621,0.1013
6272,Thecc1EG020061t1,Gorai.011G144200.1,0.0143,0.2661,0.0537
6273,Thecc1EG020062t1,Gorai.011G144300.1,0.0334,0.5933,0.0562
6274,Thecc1EG020063t1,Gorai.011G144400.1,0.0285,0.5985,0.0476
6275,Thecc1EG020066t1,Gorai.011G144600.1,0.0346,0.4327,0.0801
6276,Thecc1EG020070t1,Gorai.011G144700.1,0.0501,0.6956,0.0721
6277,Thecc1EG020071t1,Gorai.005G017800.1,0.0632,0.4724,0.1339
6278,Thecc1EG020072t1,Gorai.005G017900.1,0.0546,0.9389,0.0582
6279,Thecc1EG020085t1,Gorai.005G018100.1,0.0371,0.5073,0.0731
6280,Thecc1EG020088t1,Gorai.006G227600.1,0.0239,0.3488,0.0686
6281,Thecc1EG020090t1,Gorai.005G127200.1,0.0443,0.4692,0.0945
6282,Thecc1EG020097t1,Gorai.009G350800.1,0.0522,0.4847,0.1078
6283,Thecc1EG020098t1,Gorai.005G019300.1,0.0274,0.4876,0.0561
6284,Thecc1EG020100t1,Gorai.005G019500.1,0.0226,0.4162,0.0544
6285,Thecc1EG020101t1,Gorai.011G145500.1,0.0639,0.469,0.1362
6286,Thecc1EG020103t1,Gorai.005G127500.1,0.0215,0.4309,0.0498
6287,Thecc1EG020104t1,Gorai.005G019600.1,0.0195,0.4112,0.0474
6288,Thecc1EG020105t1,Gorai.011G145800.1,0.0571,0.5489,0.104
6289,Thecc1EG020112t1,Gorai.005G019700.1,0.0186,0.3851,0.0483
6290,Thecc1EG020113t1,Gorai.005G019800.1,0.0519,1.0499,0.0494
6291,Thecc1EG020114t1,Gorai.006G227300.1,0.0848,1.5222,0.0557
6292,Thecc1EG020115t1,Gorai.011G146200.1,0.0505,0.4078,0.1238
6293,Thecc1EG020116t1,Gorai.005G020000.1,0.1076,1.7134,0.0628
6294,Thecc1EG020118t1,Gorai.011G146300.1,0.0192,0.3071,0.0627
6295,Thecc1EG020119t1,Gorai.005G020200.1,0.0237,0.2825,0.0838
6296,Thecc1EG020120t1,Gorai.011G146700.1,0.0276,0.3653,0.0755
6297,Thecc1EG020128t1,Gorai.011G146800.1,0.0494,0.6239,0.0792
6298,Thecc1EG020129t1,Gorai.006G227200.1,0.0826,0.701,0.1179
6299,Thecc1EG020130t1,Gorai.009G351300.1,0.0209,0.2944,0.0709
6300,Thecc1EG020131t1,Gorai.011G146900.1,0.0373,0.7136,0.0523
6301,Thecc1EG020132t1,Gorai.009G351400.1,0.0094,0.3297,0.0285
6302,Thecc1EG020133t1,Gorai.006G227000.1,0.0462,0.6866,0.0673
6303,Thecc1EG020134t1,Gorai.011G147000.1,0.0185,0.471,0.0392
6304,Thecc1EG020135t1,Gorai.005G127900.1,0.0319,0.357,0.0892
6305,Thecc1EG020136t1,Gorai.005G020900.1,0.0375,0.5513,0.0679
6306,Thecc1EG020137t1,Gorai.006G226800.1,0.1107,0.7613,0.1454
6307,Thecc1EG020138t1,Gorai.009G351500.1,0.0866,0.8204,0.1055
6308,Thecc1EG020148t1,Gorai.006G226500.1,0.0789,1.057,0.0746
6309,Thecc1EG020149t1,Gorai.011G147400.1,0.0208,0.3446,0.0604
6310,Thecc1EG020150t1,Gorai.011G147600.1,0.0289,0.31,0.0933
6311,Thecc1EG020152t1,Gorai.005G021000.1,0.0405,0.8259,0.0491
6312,Thecc1EG020153t1,Gorai.006G226100.1,0.0234,0.4617,0.0506
6313,Thecc1EG020154t1,Gorai.005G021200.1,0.013,0.5128,0.0253
6314,Thecc1EG020171t1,Gorai.005G022200.1,0.0304,0.4274,0.0711
6315,Thecc1EG020173t1,Gorai.011G149900.1,0.014,0.2846,0.049
6316,Thecc1EG020175t1,Gorai.011G150100.1,0.0176,0.3533,0.0498
6317,Thecc1EG020177t1,Gorai.011G150200.1,0.0452,0.4942,0.0915
6318,Thecc1EG020178t1,Gorai.011G150300.1,0.0206,0.3008,0.0686
6319,Thecc1EG020180t1,Gorai.005G128000.1,0.0614,1.1244,0.0546
6320,Thecc1EG020181t1,Gorai.011G150500.1,0.0191,0.3639,0.0524
6321,Thecc1EG020183t1,Gorai.006G225400.1,0.0314,0.5123,0.0612
6322,Thecc1EG020184t1,Gorai.006G225300.1,0.0165,0.3835,0.0429
6323,Thecc1EG020185t1,Gorai.005G022800.1,0.0449,0.3195,0.1405
6324,Thecc1EG020186t1,Gorai.006G225200.1,0.039,0.4047,0.0964
6325,Thecc1EG020194t1,Gorai.005G024900.1,0.1311,2.1449,0.0611
6326,Thecc1EG020195t1,Gorai.005G128100.1,0.067,0.7564,0.0885
6327,Thecc1EG020199t1,Gorai.006G224900.1,0.0768,0.4755,0.1616
6328,Thecc1EG020201t1,Gorai.011G151700.1,0.0454,0.6076,0.0747
6329,Thecc1EG020205t1,Gorai.011G151900.1,0.0352,0.4681,0.0751
6330,Thecc1EG020208t1,Gorai.005G026800.1,0.0588,1.0918,0.0539
6331,Thecc1EG020209t1,Gorai.011G152500.1,0.0385,0.2884,0.1336
6332,Thecc1EG020210t1,Gorai.005G026900.1,0.0441,0.5775,0.0764
6333,Thecc1EG020211t1,Gorai.011G152400.1,0.0237,0.5571,0.0425
6334,Thecc1EG020216t1,Gorai.011G152100.1,0.036,0.2891,0.1246
6335,Thecc1EG020218t1,Gorai.005G027400.1,0.0709,1.434,0.0494
6336,Thecc1EG020219t1,Gorai.011G152000.1,0.0336,0.5422,0.0619
6337,Thecc1EG020220t1,Gorai.006G224200.1,0.0593,1.0165,0.0584
6338,Thecc1EG020222t1,Gorai.005G027500.1,0.0343,0.4574,0.075
6339,Thecc1EG020225t1,Gorai.005G027600.1,0.0625,0.6586,0.0949
6340,Thecc1EG020228t1,Gorai.011G153900.1,0.0127,0.5512,0.0231
6341,Thecc1EG020229t1,Gorai.005G027800.1,0.0277,0.3774,0.0734
6342,Thecc1EG020231t1,Gorai.006G223700.1,0.0006,0.5779,0.001
6343,Thecc1EG020232t1,Gorai.011G153800.1,0.0619,0.4051,0.1527
6344,Thecc1EG020234t1,Gorai.005G028000.1,0.0158,1.686,0.0093
6345,Thecc1EG020235t1,Gorai.011G153400.1,0.0216,0.3859,0.0559
6346,Thecc1EG020236t1,Gorai.011G153300.1,0.0265,0.3779,0.0701
6347,Thecc1EG020238t1,Gorai.005G028200.1,0.0439,0.4423,0.0991
6348,Thecc1EG020239t1,Gorai.009G349800.1,0.0753,0.7162,0.1051
6349,Thecc1EG020242t1,Gorai.005G028300.1,0.0363,0.4823,0.0752
6350,Thecc1EG020243t1,Gorai.005G028400.1,0.0282,0.3584,0.0786
6351,Thecc1EG020246t1,Gorai.011G152900.1,0.0423,0.3151,0.1342
6352,Thecc1EG020247t1,Gorai.005G028500.1,0.063,0.4831,0.1304
6353,Thecc1EG020249t1,Gorai.011G152800.1,0.0245,0.5643,0.0434
6354,Thecc1EG020251t1,Gorai.005G129200.1,0.0247,0.4653,0.0531
6355,Thecc1EG020255t1,Gorai.005G129300.1,0.0149,0.4922,0.0303
6356,Thecc1EG020258t1,Gorai.011G155000.1,0.0166,0.3252,0.051
6357,Thecc1EG020263t1,Gorai.005G030000.1,0.0347,0.6011,0.0577
6358,Thecc1EG020266t1,Gorai.009G350500.1,0.0375,0.3331,0.1125
6359,Thecc1EG020268t1,Gorai.011G155500.1,0.0237,0.3367,0.0705
6360,Thecc1EG020269t1,Gorai.005G030200.1,0.0362,0.36,0.1005
6361,Thecc1EG020273t1,Gorai.011G155900.1,0.0306,0.3321,0.0922
6362,Thecc1EG020274t1,Gorai.006G223400.1,0.0265,0.3815,0.0694
6363,Thecc1EG020276t1,Gorai.005G030400.1,0.0204,0.7371,0.0277
6364,Thecc1EG020277t1,Gorai.005G129500.1,0.048,0.4302,0.1115
6365,Thecc1EG020279t1,Gorai.011G156100.1,0.0608,0.6911,0.0879
6366,Thecc1EG020280t1,Gorai.005G129600.1,0.0424,0.3648,0.1163
6367,Thecc1EG020283t1,Gorai.005G030600.1,0.0374,0.7345,0.0509
6368,Thecc1EG020285t1,Gorai.005G030700.1,0.0618,0.3681,0.1679
6369,Thecc1EG020286t1,Gorai.005G030800.1,0.0079,0.3296,0.0239
6370,Thecc1EG020287t1,Gorai.005G030900.1,0.0509,0.8122,0.0626
6371,Thecc1EG020288t1,Gorai.005G031100.1,0.0212,0.3785,0.0559
6372,Thecc1EG020289t1,Gorai.005G031200.1,0.0178,0.3139,0.0568
6373,Thecc1EG020290t1,Gorai.005G031300.1,0.0331,0.3496,0.0948
6374,Thecc1EG020291t1,Gorai.005G130000.1,0.0217,0.3683,0.059
6375,Thecc1EG020292t1,Gorai.005G031400.1,0.0331,0.3273,0.1012
6376,Thecc1EG020295t1,Gorai.001G146000.1,0.1575,1.749,0.09
6377,Thecc1EG020299t1,Gorai.006G222800.1,0.0354,0.4559,0.0776
6378,Thecc1EG020307t1,Gorai.009G349100.1,0.1046,0.8004,0.1307
6379,Thecc1EG020308t1,Gorai.011G156600.1,0.0241,0.3739,0.0644
6380,Thecc1EG020314t1,Gorai.011G156800.1,0.053,0.5297,0.1
6381,Thecc1EG020316t1,Gorai.005G130100.1,0.0438,0.4759,0.0921
6382,Thecc1EG020321t1,Gorai.011G157500.1,0.0359,0.4825,0.0743
6383,Thecc1EG020322t1,Gorai.011G157600.1,0.0342,0.4049,0.0845
6384,Thecc1EG020326t1,Gorai.012G008200.1,0.0356,0.3813,0.0935
6385,Thecc1EG020328t1,Gorai.006G222500.1,0.069,0.584,0.1181
6386,Thecc1EG020329t1,Gorai.011G158100.1,0.0808,1.3649,0.0592
6387,Thecc1EG020330t1,Gorai.011G158300.1,0.0361,0.6116,0.059
6388,Thecc1EG020331t1,Gorai.011G158400.1,0.0171,0.4927,0.0346
6389,Thecc1EG020333t1,Gorai.011G158900.1,0.0154,0.3275,0.0471
6390,Thecc1EG020334t1,Gorai.006G222300.1,0.0889,0.9897,0.0898
6391,Thecc1EG020336t1,Gorai.011G159100.1,0.0231,0.5864,0.0394
6392,Thecc1EG046762t1,Gorai.006G222100.1,0.0156,0.3431,0.0455
6393,Thecc1EG020344t1,Gorai.006G221600.1,0.0635,0.403,0.1577
6394,Thecc1EG020345t1,Gorai.011G159400.1,0.015,0.2715,0.0552
6395,Thecc1EG020346t1,Gorai.005G131300.1,0.0735,0.9879,0.0744
6396,Thecc1EG020348t1,Gorai.011G159800.1,0.0704,1.9678,0.0358
6397,Thecc1EG020349t1,Gorai.011G159900.1,0.0477,0.4352,0.1096
6398,Thecc1EG020350t1,Gorai.006G221300.1,0.0394,0.3694,0.1067
6399,Thecc1EG020352t1,Gorai.011G160100.1,0.0494,0.4506,0.1096
6400,Thecc1EG020353t1,Gorai.005G131500.1,0.0154,0.358,0.043
6401,Thecc1EG020354t1,Gorai.011G160300.1,0.0294,0.3822,0.0768
6402,Thecc1EG020356t1,Gorai.006G056500.1,0.0476,0.5691,0.0837
6403,Thecc1EG020357t1,Gorai.006G056400.1,0.036,0.4368,0.0823
6404,Thecc1EG020359t1,Gorai.011G160500.1,0.0387,0.4489,0.0862
6405,Thecc1EG020367t1,Gorai.006G220600.1,0.0421,0.746,0.0564
6406,Thecc1EG020368t1,Gorai.006G056100.1,0.0334,0.33,0.1011
6407,Thecc1EG020378t1,Gorai.006G220400.1,0.0165,0.3429,0.048
6408,Thecc1EG020379t1,Gorai.011G160900.1,0.0456,0.357,0.1278
6409,Thecc1EG020380t1,Gorai.006G220300.1,0.0292,0.3964,0.0736
6410,Thecc1EG020383t1,Gorai.006G220100.1,0.0179,0.4549,0.0393
6411,Thecc1EG020385t1,Gorai.005G035200.1,0.0206,0.3638,0.0565
6412,Thecc1EG020386t1,Gorai.005G035400.1,0.0539,0.4578,0.1177
6413,Thecc1EG020387t1,Gorai.011G161700.1,0.0174,0.3364,0.0517
6414,Thecc1EG020388t1,Gorai.006G219900.1,0.0474,0.6166,0.0768
6415,Thecc1EG020391t1,Gorai.005G035500.1,0.0479,0.5475,0.0876
6416,Thecc1EG020393t1,Gorai.006G055900.1,0.0741,0.9444,0.0784
6417,Thecc1EG020395t1,Gorai.006G055700.1,0.018,0.4756,0.0378
6418,Thecc1EG020397t1,Gorai.011G161800.1,0.0332,0.4928,0.0674
6419,Thecc1EG020402t1,Gorai.006G219600.1,0.0094,0.3451,0.0273
6420,Thecc1EG020404t1,Gorai.011G162100.1,0.0238,0.3205,0.0742
6421,Thecc1EG020406t1,Gorai.008G035500.1,0.0443,0.626,0.0708
6422,Thecc1EG020407t1,Gorai.011G162400.1,0.0413,0.5168,0.0798
6423,Thecc1EG020410t1,Gorai.006G055600.1,0.0519,0.3628,0.1429
6424,Thecc1EG020411t1,Gorai.011G162600.1,0.0154,0.6902,0.0223
6425,Thecc1EG020414t1,Gorai.011G162700.1,0.0563,0.617,0.0913
6426,Thecc1EG020422t1,Gorai.006G219400.1,0.034,0.4083,0.0833
6427,Thecc1EG020424t1,Gorai.009G340400.1,0.0569,0.5581,0.102
6428,Thecc1EG020425t1,Gorai.005G039400.1,0.1215,1.0722,0.1133
6429,Thecc1EG020428t1,Gorai.005G039200.1,0.0357,0.3882,0.092
6430,Thecc1EG020429t1,Gorai.011G162800.1,0.0508,0.5417,0.0938
6431,Thecc1EG020430t1,Gorai.005G039100.1,0.0573,0.4063,0.1409
6432,Thecc1EG020431t1,Gorai.011G163000.1,0.0276,0.3996,0.069
6433,Thecc1EG020432t1,Gorai.011G163100.1,0.0143,0.4989,0.0287
6434,Thecc1EG020433t1,Gorai.011G163200.1,0.043,0.3484,0.1233
6435,Thecc1EG020436t1,Gorai.006G054900.1,0.0173,0.4029,0.0428
6436,Thecc1EG020437t1,Gorai.006G054800.1,0.03,0.3931,0.0764
6437,Thecc1EG020438t1,Gorai.006G219100.1,0.0104,0.3476,0.0298
6438,Thecc1EG020439t1,Gorai.006G054600.1,0.0366,0.3823,0.0957
6439,Thecc1EG020442t1,Gorai.009G341000.1,0.0518,0.7633,0.0678
6440,Thecc1EG020445t1,Gorai.006G219000.1,0.0378,0.3364,0.1124
6441,Thecc1EG020446t1,Gorai.006G218900.1,0.0292,0.3346,0.0871
6442,Thecc1EG046766t1,Gorai.011G164000.1,0.0489,0.4003,0.1223
6443,Thecc1EG020469t1,Gorai.011G164100.1,0.0193,0.3463,0.0558
6444,Thecc1EG020470t1,Gorai.011G164200.1,0.0216,0.415,0.0521
6445,Thecc1EG020473t1,Gorai.006G218600.1,0.072,0.6805,0.1058
6446,Thecc1EG020474t1,Gorai.005G036200.1,0.0382,0.3106,0.123
6447,Thecc1EG020477t1,Gorai.006G218300.1,0.0359,0.2292,0.1566
6448,Thecc1EG020480t1,Gorai.011G168000.1,0.0288,0.3234,0.0891
6449,Thecc1EG020481t1,Gorai.011G168100.1,0.0303,0.3857,0.0786
6450,Thecc1EG020482t1,Gorai.006G218000.1,0.0254,0.392,0.0648
6451,Thecc1EG020483t1,Gorai.005G035700.1,0.0281,0.4377,0.0642
6452,Thecc1EG020486t1,Gorai.005G035600.1,0.0032,0.3285,0.0096
6453,Thecc1EG020494t1,Gorai.005G040300.1,0.0166,0.541,0.0307
6454,Thecc1EG020496t1,Gorai.005G040400.1,0.0222,0.3,0.074
6455,Thecc1EG020497t1,Gorai.006G053400.1,0.0429,0.4524,0.0948
6456,Thecc1EG020498t1,Gorai.011G170000.1,0.0147,0.3001,0.049
6457,Thecc1EG020499t1,Gorai.005G040500.1,0.0251,0.2349,0.1068
6458,Thecc1EG020501t1,Gorai.011G170300.1,0.0123,0.352,0.0348
6459,Thecc1EG020503t1,Gorai.011G169700.1,0.0464,0.406,0.1143
6460,Thecc1EG020506t1,Gorai.009G340700.1,0.0285,0.2847,0.1001
6461,Thecc1EG020507t1,Gorai.006G053500.1,0.0362,0.729,0.0496
6462,Thecc1EG020508t1,Gorai.006G053600.1,0.0257,0.3161,0.0813
6463,Thecc1EG020511t1,Gorai.005G041800.1,0.0229,1.5273,0.015
6464,Thecc1EG020513t1,Gorai.006G053800.1,0.028,0.4848,0.0577
6465,Thecc1EG020515t1,Gorai.006G054000.1,0.0291,0.7536,0.0386
6466,Thecc1EG020520t1,Gorai.006G054300.1,0.039,0.4086,0.0955
6467,Thecc1EG020526t1,Gorai.009G341600.1,0.0494,0.4981,0.0991
6468,Thecc1EG020531t1,Gorai.006G236300.1,0.0628,0.5596,0.1122
6469,Thecc1EG020538t1,Gorai.005G041000.1,0.0297,0.3436,0.0864
6470,Thecc1EG020540t1,Gorai.005G041100.1,0.0387,0.7051,0.0549
6471,Thecc1EG020541t1,Gorai.006G236400.1,0.0133,0.3532,0.0375
6472,Thecc1EG020545t1,Gorai.011G158200.1,0.0249,0.5262,0.0474
6473,Thecc1EG020549t1,Gorai.006G236500.1,0.036,0.3861,0.0932
6474,Thecc1EG020550t1,Gorai.011G165900.1,0.0427,0.4631,0.0922
6475,Thecc1EG020551t1,Gorai.006G236600.1,0.0235,0.4422,0.0532
6476,Thecc1EG020552t1,Gorai.006G052800.1,0.0267,0.5115,0.0521
6477,Thecc1EG020556t1,Gorai.006G052900.1,0.0263,0.4025,0.0654
6478,Thecc1EG020564t1,Gorai.006G053000.1,0.0427,0.316,0.1352
6479,Thecc1EG020565t1,Gorai.002G024100.1,0.041,0.4716,0.0869
6480,Thecc1EG020566t1,Gorai.011G166100.1,0.0187,0.3292,0.0568
6481,Thecc1EG020567t1,Gorai.011G166200.1,0.0293,0.4109,0.0713
6482,Thecc1EG020570t1,Gorai.006G237000.1,0.0489,0.8125,0.0602
6483,Thecc1EG020571t1,Gorai.006G237100.1,0.0149,0.3232,0.0461
6484,Thecc1EG020572t1,Gorai.002G023600.1,0.039,0.5677,0.0686
6485,Thecc1EG020574t1,Gorai.006G237300.1,0.0292,0.7306,0.04
6486,Thecc1EG020575t1,Gorai.004G262700.1,0.0406,0.4816,0.0843
6487,Thecc1EG020576t1,Gorai.006G237600.1,0.0353,0.4814,0.0734
6488,Thecc1EG020578t1,Gorai.002G023700.1,0.0262,0.5824,0.0449
6489,Thecc1EG020579t1,Gorai.002G023900.1,0.0333,0.3458,0.0962
6490,Thecc1EG020580t1,Gorai.011G168600.1,0.0172,0.3631,0.0473
6491,Thecc1EG020582t1,Gorai.006G237500.1,0.0568,0.437,0.1299
6492,Thecc1EG020583t1,Gorai.006G237400.1,0.0189,0.5767,0.0328
6493,Thecc1EG020585t1,Gorai.011G169000.1,0.0337,0.3853,0.0874
6494,Thecc1EG020587t1,Gorai.005G041600.1,0.0384,0.3735,0.1028
6495,Thecc1EG020592t1,Gorai.001G142800.1,0.0493,0.6835,0.0722
6496,Thecc1EG020602t1,Gorai.006G051500.1,0.0577,0.8611,0.067
6497,Thecc1EG020612t1,Gorai.005G042200.1,0.0241,0.5643,0.0427
6498,Thecc1EG020608t1,Gorai.006G238300.1,0.0538,0.7868,0.0683
6499,Thecc1EG020609t1,Gorai.005G042100.1,0.0561,0.7255,0.0773
6500,Thecc1EG020610t1,Gorai.006G238400.1,0.0223,0.3818,0.0584
6501,Thecc1EG020616t1,Gorai.005G042400.1,0.0407,0.9092,0.0448
6502,Thecc1EG020620t1,Gorai.005G042600.1,0.0938,1.0652,0.088
6503,Thecc1EG020622t1,Gorai.005G042800.1,0.0369,0.4552,0.0812
6504,Thecc1EG020623t1,Gorai.006G239100.1,0.0163,0.4066,0.04
6505,Thecc1EG020624t1,Gorai.011G195700.1,0.0393,0.8968,0.0438
6506,Thecc1EG020625t1,Gorai.006G068300.1,0.0198,0.3349,0.0592
6507,Thecc1EG020626t1,Gorai.006G239300.1,0.018,0.3667,0.0491
6508,Thecc1EG020628t1,Gorai.006G239400.1,0.063,0.766,0.0822
6509,Thecc1EG020630t1,Gorai.006G239600.1,0.053,0.6945,0.0763
6510,Thecc1EG020632t1,Gorai.006G239700.1,0.0493,0.6267,0.0787
6511,Thecc1EG020633t1,Gorai.005G043200.1,0.0599,1.2559,0.0477
6512,Thecc1EG020634t1,Gorai.002G024200.1,0.0324,0.566,0.0572
6513,Thecc1EG020635t1,Gorai.001G214700.1,0.0347,0.4673,0.0743
6514,Thecc1EG020638t1,Gorai.006G068900.1,0.0318,0.3754,0.0848
6515,Thecc1EG020639t1,Gorai.005G043500.1,0.0603,0.9309,0.0648
6516,Thecc1EG020641t1,Gorai.006G069200.1,0.046,0.484,0.095
6517,Thecc1EG020643t1,Gorai.006G239900.1,0.035,0.57,0.0614
6518,Thecc1EG020644t1,Gorai.006G055000.1,0.0684,0.4944,0.1384
6519,Thecc1EG020645t1,Gorai.008G264200.1,0.0357,0.3609,0.0989
6520,Thecc1EG020647t1,Gorai.006G240000.1,0.0267,0.458,0.0583
6521,Thecc1EG020648t1,Gorai.006G240100.1,0.0316,0.348,0.0908
6522,Thecc1EG020649t1,Gorai.006G240200.1,0.0399,0.4437,0.09
6523,Thecc1EG020654t1,Gorai.005G044200.1,0.0107,0.3364,0.0319
6524,Thecc1EG020655t1,Gorai.005G044100.1,0.053,0.42,0.1261
6525,Thecc1EG020658t1,Gorai.006G240600.1,0.0826,0.6535,0.1265
6526,Thecc1EG020660t1,Gorai.006G240700.1,0.0366,0.4889,0.0749
6527,Thecc1EG020661t1,Gorai.006G240800.1,0.0369,0.4534,0.0813
6528,Thecc1EG020664t1,Gorai.006G069500.1,0.0484,0.7236,0.0669
6529,Thecc1EG020667t1,Gorai.011G165500.1,0.0067,0.3045,0.0221
6530,Thecc1EG020670t1,Gorai.006G241400.1,0.0314,0.3607,0.087
6531,Thecc1EG020671t1,Gorai.011G165700.1,0.0364,0.46,0.0792
6532,Thecc1EG020672t1,Gorai.003G095900.1,0.0472,0.4275,0.1104
6533,Thecc1EG020673t1,Gorai.011G165600.1,0.0304,0.3729,0.0815
6534,Thecc1EG020676t1,Gorai.011G167400.1,0.0266,0.4058,0.0656
6535,Thecc1EG020677t1,Gorai.005G044800.1,0.0393,0.3895,0.1008
6536,Thecc1EG020679t1,Gorai.006G241600.1,0.0479,0.5249,0.0913
6537,Thecc1EG020681t1,Gorai.011G172700.1,0.0485,0.5463,0.0889
6538,Thecc1EG020683t1,Gorai.002G024400.1,0.0198,0.3012,0.0657
6539,Thecc1EG020684t1,Gorai.011G167600.1,0.0239,0.3737,0.0639
6540,Thecc1EG020686t1,Gorai.006G241800.1,0.0484,0.8909,0.0544
6541,Thecc1EG020689t1,Gorai.005G045100.1,0.0805,0.6424,0.1254
6542,Thecc1EG020692t1,Gorai.005G045200.1,0.0258,0.5384,0.048
6543,Thecc1EG020693t1,Gorai.011G170100.1,0.0335,0.294,0.114
6544,Thecc1EG020695t1,Gorai.005G045300.1,0.0646,0.9001,0.0717
6545,Thecc1EG020696t1,Gorai.011G168700.1,0.0211,0.338,0.0625
6546,Thecc1EG020697t1,Gorai.011G168900.1,0.0465,0.3971,0.1171
6547,Thecc1EG020698t1,Gorai.006G242300.1,0.0271,0.4777,0.0568
6548,Thecc1EG020699t1,Gorai.005G045400.1,0.0207,0.4833,0.0428
6549,Thecc1EG020700t1,Gorai.011G168400.1,0.0467,0.3969,0.1178
6550,Thecc1EG020703t1,Gorai.006G242500.1,0.0243,0.3242,0.075
6551,Thecc1EG020704t1,Gorai.006G242600.1,0.0371,0.634,0.0585
6552,Thecc1EG020711t1,Gorai.011G166300.1,0.0338,0.4456,0.0759
6553,Thecc1EG046769t1,Gorai.011G166400.1,0.0339,0.3891,0.0872
6554,Thecc1EG020717t1,Gorai.011G166600.1,0.0109,0.3443,0.0317
6555,Thecc1EG020718t1,Gorai.006G243300.1,0.0494,0.5359,0.0922
6556,Thecc1EG020727t1,Gorai.006G243400.1,0.0189,0.5252,0.0361
6557,Thecc1EG020729t1,Gorai.006G243500.1,0.027,0.478,0.0565
6558,Thecc1EG020730t1,Gorai.005G045900.1,0.0849,0.8394,0.1011
6559,Thecc1EG020734t1,Gorai.006G243700.1,0.0392,0.4684,0.0837
6560,Thecc1EG020735t1,Gorai.006G244100.1,0.109,2.0665,0.0528
6561,Thecc1EG020736t1,Gorai.006G244200.1,0.0429,0.3786,0.1133
6562,Thecc1EG020738t1,Gorai.006G244300.1,0.0127,0.5573,0.0228
6563,Thecc1EG020739t1,Gorai.006G244400.1,0.0111,0.4063,0.0273
6564,Thecc1EG020740t1,Gorai.006G244800.1,0.0368,0.3833,0.0959
6565,Thecc1EG020741t1,Gorai.011G167300.1,0.0152,0.437,0.0347
6566,Thecc1EG020755t1,Gorai.011G165200.1,0.0147,0.4752,0.0309
6567,Thecc1EG020756t1,Gorai.006G245100.1,0.0342,0.4234,0.0808
6568,Thecc1EG020759t1,Gorai.011G164800.1,0.0305,0.4477,0.0682
6569,Thecc1EG020760t1,Gorai.006G245300.1,0.035,0.3876,0.0904
6570,Thecc1EG020761t1,Gorai.006G245500.1,0.0255,0.3792,0.0673
6571,Thecc1EG020763t1,Gorai.011G164700.1,0.021,0.3905,0.0537
6572,Thecc1EG020764t1,Gorai.011G164600.1,0.0361,0.5092,0.0709
6573,Thecc1EG020766t1,Gorai.006G070000.1,0.0431,0.4951,0.087
6574,Thecc1EG020767t1,Gorai.011G170500.1,0.0147,0.2953,0.0498
6575,Thecc1EG020768t1,Gorai.006G245800.1,0.0205,0.2915,0.0704
6576,Thecc1EG020769t1,Gorai.006G070200.1,0.0393,0.5996,0.0655
6577,Thecc1EG020776t1,Gorai.005G046600.1,0.0422,0.3306,0.1277
6578,Thecc1EG020779t1,Gorai.006G246100.1,0.0228,0.423,0.0538
6579,Thecc1EG020780t1,Gorai.011G170800.1,0.0148,0.3113,0.0474
6580,Thecc1EG020782t1,Gorai.006G246200.1,0.0442,0.7363,0.06
6581,Thecc1EG020785t1,Gorai.006G246300.1,0.0767,0.5474,0.1401
6582,Thecc1EG020786t1,Gorai.004G020400.1,0.0333,0.2919,0.114
6583,Thecc1EG020787t1,Gorai.006G246400.1,0.0693,0.7995,0.0867
6584,Thecc1EG020789t1,Gorai.011G171100.1,0.0481,0.5438,0.0884
6585,Thecc1EG020790t1,Gorai.006G246700.1,0.0206,0.4305,0.0478
6586,Thecc1EG020791t1,Gorai.006G246800.1,0.065,0.7033,0.0924
6587,Thecc1EG020792t1,Gorai.006G070300.1,0.0447,0.4697,0.0952
6588,Thecc1EG020794t1,Gorai.011G171200.1,0.0351,0.3991,0.088
6589,Thecc1EG020797t1,Gorai.006G070400.1,0.0346,0.4827,0.0717
6590,Thecc1EG020798t1,Gorai.011G171700.1,0.0357,0.4313,0.0827
6591,Thecc1EG020799t1,Gorai.005G047000.1,0.0362,0.4116,0.0878
6592,Thecc1EG020800t1,Gorai.006G247100.1,0.0535,0.501,0.1068
6593,Thecc1EG020801t1,Gorai.010G076500.1,0.0388,0.4819,0.0805
6594,Thecc1EG020806t1,Gorai.005G047500.1,0.053,0.858,0.0618
6595,Thecc1EG020807t1,Gorai.011G171900.1,0.0297,0.2928,0.1013
6596,Thecc1EG020809t1,Gorai.012G021000.1,0.0627,0.5084,0.1233
